City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1203,-134.9692,80.6,80,100,18.14,PF,1615166185
jiuquan,39.7432,98.5174,35.49,70,1,2.21,CN,1615166185
oparino,59.8518,48.2783,6.98,95,100,7.67,RU,1615166185
butaritari,3.0707,172.7902,80.74,81,85,12.68,KI,1615166185
nuuk,64.1835,-51.7216,26.6,93,90,4.61,GL,1615166185
ostrovnoy,68.0531,39.5131,-0.06,92,100,9.35,RU,1615166185
bluff,-46.6,168.3333,52,90,100,5.01,NZ,1615166185
urusha,54.05,122.9,8.53,94,100,1.54,RU,1615166186
ribeira grande,38.5167,-28.7,62.37,89,97,11.52,PT,1615166186
ushuaia,-54.8,-68.3,41,70,75,32.21,AR,1615166154
beyneu,45.3167,55.2,27.55,88,0,3.18,KZ,1615166186
prieska,-29.6641,22.7474,66.36,25,0,3.36,ZA,1615166186
olafsvik,64.8945,-23.7142,40.68,76,100,17.85,IS,1615166186
yellowknife,62.456,-114.3525,10.4,61,90,20.71,CA,1615166186
castro,-24.7911,-50.0119,61.34,97,100,6.49,BR,1615166186
asau,46.4333,26.4,32,68,0,4.61,RO,1615166186
avarua,-21.2078,-159.775,84.2,79,20,8.05,CK,1615166187
tiksi,71.6872,128.8694,-15.52,87,100,6.22,RU,1615166187
busselton,-33.65,115.3333,66.99,82,89,3,AU,1615166187
vaini,-21.2,-175.2,84.2,74,40,12.66,TO,1615166187
hassleholm,56.1591,13.7664,26.6,59,0,6.91,SE,1615166188
new norfolk,-42.7826,147.0587,70,42,100,3,AU,1615166188
kilinochchi,9.3961,80.3982,77.16,91,28,6.78,LK,1615166188
sobolevo,54.4299,31.8996,19.89,96,54,11.72,RU,1615166188
albany,42.6001,-73.9662,26.01,35,10,14,US,1615166131
nanortalik,60.1432,-45.2371,30.52,95,100,17.05,GL,1615166188
illoqqortoormiut,,,,,,,,
tuktoyaktuk,69.4541,-133.0374,-14.8,76,75,16.11,CA,1615166188
atuona,-9.8,-139.0333,79.83,75,41,12.95,PF,1615166189
marienburg,54.0359,19.0266,28,89,63,5.01,PL,1615166189
cabo san lucas,22.8909,-109.9124,73,56,20,5.75,MX,1615165981
lieksa,63.3167,30.0167,-1.05,90,49,9.28,FI,1615166189
port alfred,-33.5906,26.891,68,87,4,8.5,ZA,1615166189
yerbogachen,61.2767,108.0108,11.35,94,67,12.95,RU,1615166189
dikson,73.5069,80.5464,-18.56,88,100,9.04,RU,1615166189
sentyabrskiy,,,,,,,,
ust-tsilma,65.441,52.1498,-20.9,87,94,4.07,RU,1615166189
mar del plata,-38.0023,-57.5575,73,73,40,3.44,AR,1615166189
hilo,19.7297,-155.09,75.2,73,90,5.75,US,1615165999
katsuura,35.1333,140.3,45,89,100,11.01,JP,1615166190
tuatapere,-46.1333,167.6833,52,90,100,5.01,NZ,1615166190
hermanus,-34.4187,19.2345,60.01,92,100,6.53,ZA,1615166190
pimentel,-6.8367,-79.9342,75.2,78,0,16.11,PE,1615166190
belushya guba,,,,,,,,
livingston,55.9029,-3.5226,45,93,75,10.36,GB,1615166190
bull savanna,17.8868,-77.5902,74.97,79,47,4.76,JM,1615166190
luis correia,-2.8792,-41.6669,79.21,81,98,8.75,BR,1615166191
klaksvik,62.2266,-6.589,41,100,90,3.71,FO,1615166191
raducaneni,46.95,27.9333,32,59,0,3.44,RO,1615166191
jamestown,42.097,-79.2353,21.99,94,1,2.48,US,1615165976
carnarvon,-24.8667,113.6333,82.4,89,0,11.5,AU,1615166191
barawe,,,,,,,,
oranjemund,-28.55,16.4333,62.28,94,21,4.14,NA,1615166192
agar,23.7,76.0167,65.77,28,0,9.51,IN,1615166192
manado,1.487,124.8455,84.2,70,40,2.3,ID,1615165962
buraydah,26.326,43.975,57.2,51,0,4.61,SA,1615166174
mansa,29.9833,75.3833,57.54,67,0,7.83,IN,1615166192
lubango,-14.9172,13.4925,60.71,82,97,2.33,AO,1615166193
may pen,17.9645,-77.2451,80.6,74,40,2.3,JM,1615166193
